SECCION,x,y,pan,morena,pri,estrato,dif,ln,estratogeo,estratoele,estratodif,estrato_final,estrato_nombre
1613,-93.1103842717378,16.77773190393077,0.1985611510791367,0.33908872901678655,0.0657074340527578,periferia oriente norte,0.14052757793764986,2085,3,3,5,5,Periferia norte
1631,-93.10901197766273,16.768070796955868,0.23629489603024575,0.2717391304347826,0.05245746691871456,centro oriente norte,0.03544423440453684,2116,3,3,3,3,Centro oriente
1718,-93.09991059239319,16.737831385575348,0.2527910685805423,0.3492822966507177,0.07814992025518341,centro oriente sur,0.0964912280701754,1254,8,1,1,1,Periferia sur oriente
1653,-93.10609237973347,16.766763181242677,0.35261569416498995,0.23641851106639838,0.04778672032193159,centro oriente norte,-0.11619718309859156,1988,7,3,3,3,Centro oriente
1652,-93.11181764936948,16.76279371379043,0.34774933804060015,0.294792586054722,0.07590467784642542,centro oriente norte,-0.05295675198587818,1133,3,3,3,3,Centro oriente
1686,-93.0925853131399,16.743675186614052,0.24806201550387597,0.2863372093023256,0.06492248062015504,centro oriente sur,0.038275193798449625,2064,8,1,1,1,Periferia sur oriente
1685,-93.08683892456705,16.746095367797054,0.418349273822175,0.1810131066241587,0.05526036131774708,centro oriente sur,-0.2373361671980163,2823,8,3,3,3,Centro oriente
1695,-93.11903234938764,16.752368713734416,0.2797971259509721,0.1437024513947591,0.057480980557903634,centro poniente sur,-0.13609467455621302,1183,8,3,3,6,Centro poniente
1710,-93.12062009505121,16.74830152859769,0.3371104815864023,0.22237960339943344,0.046742209631728045,centro poniente sur,-0.11473087818696884,706,8,3,3,6,Centro poniente
1711,-93.11850483466634,16.74797759780948,0.32574679943101,0.2147937411095306,0.06401137980085349,centro poniente sur,-0.11095305832147939,703,8,3,3,6,Centro poniente
1730,-93.10275919808343,16.73266314962727,0.16436327739387957,0.32453109575518263,0.0688548864758144,periferia oriente sur,0.16016781836130306,4052,8,1,1,1,Periferia sur oriente
1741,-93.11969771794774,16.73455672358437,0.16478555304740405,0.32674943566591425,0.07392776523702031,periferia oriente sur,0.1619638826185102,1772,8,1,1,1,Periferia sur oriente
1725,-93.12157320911524,16.742401210117055,0.2821482602118003,0.28819969742813917,0.06656580937972768,centro poniente sur,0.006051437216338884,1322,8,1,3,6,Centro poniente
1723,-93.11987323304628,16.745183571948054,0.22616933096506808,0.2344582593250444,0.053878034339846066,centro poniente sur,0.008288928359976327,1689,8,3,3,6,Centro poniente
1724,-93.12352677791712,16.745060908331645,0.2793904208998549,0.2539912917271408,0.07619738751814223,centro poniente sur,-0.025399129172714086,1378,8,3,3,6,Centro poniente
1709,-93.12359585477172,16.75011960051698,0.39342948717948717,0.23557692307692307,0.07532051282051282,centro poniente sur,-0.1578525641025641,1248,8,3,3,6,Centro poniente
