SECCION,sexo,edad,entrevistas
1703,Hombre,45 a 54 años,5
1703,Hombre,55 a 64 años,3
1703,Hombre,65 años o más,2
1703,Mujer,18 a 24 años,4
1703,Mujer,25 a 34 años,8
1703,Mujer,35 a 44 años,6
1703,Mujer,45 a 54 años,5
1703,Mujer,55 a 64 años,3
1703,Mujer,65 años o más,3
1726,Hombre,18 a 24 años,4
1726,Hombre,25 a 34 años,6
1726,Hombre,35 a 44 años,6
1726,Hombre,45 a 54 años,4
1726,Hombre,55 a 64 años,3
1726,Hombre,65 años o más,3
1726,Mujer,18 a 24 años,4
1726,Mujer,25 a 34 años,7
1726,Mujer,35 a 44 años,7
1726,Mujer,45 a 54 años,4
1726,Mujer,55 a 64 años,4
1726,Mujer,65 años o más,4
1735,Hombre,18 a 24 años,4
1735,Hombre,25 a 34 años,7
1735,Hombre,35 a 44 años,5
1735,Hombre,45 a 54 años,4
1735,Hombre,55 a 64 años,3
1735,Hombre,65 años o más,2
1735,Mujer,18 a 24 años,5
1735,Mujer,25 a 34 años,8
1735,Mujer,35 a 44 años,7
1735,Mujer,45 a 54 años,5
1735,Mujer,55 a 64 años,4
1735,Mujer,65 años o más,3
1747,Hombre,18 a 24 años,4
1747,Hombre,25 a 34 años,6
1747,Hombre,35 a 44 años,5
1747,Hombre,45 a 54 años,5
1747,Hombre,55 a 64 años,3
1747,Hombre,65 años o más,3
1747,Mujer,18 a 24 años,5
1747,Mujer,25 a 34 años,7
1747,Mujer,35 a 44 años,7
1747,Mujer,45 a 54 años,5
1747,Mujer,55 a 64 años,3
1747,Mujer,65 años o más,3
1748,Hombre,18 a 24 años,5
1748,Hombre,25 a 34 años,6
1748,Hombre,35 a 44 años,7
1748,Hombre,45 a 54 años,4
1748,Hombre,55 a 64 años,2
1748,Hombre,65 años o más,2
1748,Mujer,18 a 24 años,5
1748,Mujer,25 a 34 años,8
1748,Mujer,35 a 44 años,8
1748,Mujer,45 a 54 años,4
1748,Mujer,55 a 64 años,3
1748,Mujer,65 años o más,2
1749,Hombre,18 a 24 años,4
1749,Hombre,25 a 34 años,7
1749,Hombre,35 a 44 años,5
1749,Hombre,45 a 54 años,5
1749,Hombre,55 a 64 años,4
1749,Hombre,65 años o más,2
1749,Mujer,18 a 24 años,5
1749,Mujer,25 a 34 años,7
1749,Mujer,35 a 44 años,5
1749,Mujer,45 a 54 años,7
1749,Mujer,55 a 64 años,4
1749,Mujer,65 años o más,3
1957,Hombre,18 a 24 años,5
1957,Hombre,25 a 34 años,5
1957,Hombre,35 a 44 años,8
1957,Hombre,45 a 54 años,5
1957,Hombre,55 a 64 años,1
1957,Hombre,65 años o más,1
1957,Mujer,18 a 24 años,5
1957,Mujer,25 a 34 años,6
1957,Mujer,35 a 44 años,11
1957,Mujer,45 a 54 años,5
1957,Mujer,55 a 64 años,3
1957,Mujer,65 años o más,2
